Global Land Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.44
1881,-0.41
1882,-0.38
1883,-0.58
1884,-0.59
1885,-0.51
1886,-0.48
1887,-0.45
1888,-0.46
1889,-0.31
1890,-0.49
1891,-0.54
1892,-0.49
1893,-0.54
1894,-0.34
1895,-0.39
1896,-0.25
1897,-0.30
1898,-0.38
1899,-0.18
1900,-0.12
1901,-0.09
1902,-0.34
1903,-0.39
1904,-0.47
1905,-0.42
1906,-0.20
1907,-0.60
1908,-0.49
1909,-0.39
1910,-0.33
1911,-0.43
1912,-0.50
1913,-0.32
1914,-0.05
1915,-0.05
1916,-0.35
1917,-0.50
1918,-0.35
1919,-0.30
1920,-0.27
1921,-0.03
1922,-0.21
1923,-0.18
1924,-0.23
1925,-0.07
1926,0.03
1927,-0.13
1928,-0.07
1929,-0.38
1930,-0.06
1931,-0.01
1932,0.01
1933,-0.32
1934,0.00
1935,-0.12
1936,-0.10
1937,-0.02
1938,0.19
1939,0.10
1940,0.05
1941,0.09
1942,0.06
1943,0.08
1944,0.19
1945,-0.09
1946,-0.04
1947,0.04
1948,0.02
1949,-0.07
1950,-0.36
1951,-0.08
1952,-0.10
1953,0.16
1954,-0.17
1955,-0.14
1956,-0.43
1957,-0.07
1958,0.11
1959,0.04
1960,-0.05
1961,0.10
1962,0.15
1963,0.19
1964,-0.25
1965,-0.14
1966,-0.08
1967,-0.01
1968,-0.13
1969,-0.11
1970,0.01
1971,-0.05
1972,-0.18
1973,0.29
1974,-0.22
1975,0.11
1976,-0.26
1977,0.19
1978,0.07
1979,0.14
1980,0.26
1981,0.48
1982,0.08
1983,0.48
1984,0.04
1985,0.06
1986,0.27
1987,0.41
1988,0.55
1989,0.38
1990,0.58
1991,0.53
1992,0.26
1993,0.34
1994,0.45
1995,0.76
1996,0.35
1997,0.68
1998,0.95
1999,0.79
2000,0.64
2001,0.83
2002,0.94
2003,0.89
2004,0.81
2005,1.04
2006,0.91
2007,1.09
2008,0.86
2009,0.89
2010,1.09
2011,0.91
2012,0.92
2013,1.00
2014,1.02
2015,1.35
2016,1.45
2017,1.33
